Shipment_ID,Origin_Region,Carrier_Name,Cargo_Type,Planned_ETA,Actual_Arrival,Weather_Index,Port_Congestion_Level,Distance_KM
SHP1289,CN,OceanWave,Standard,15-01-2025,17-01-2025,4,0.49,3140
SHP1290,Germany,,Standard,10-04-2025,19-04-2025,1,0.99,2539
SHP1291,U.S.,AirFreight_Inc,Hazardous,03-01-2025,03-01-2025,1,0.2,2620
SHP1292,United States,AirFreight_Inc,Hazardous,02-08-2025,12-08-2025,8,0.52,2286
SHP1293,India,FastLogistics,Perishable,21-09-2025,20-09-2025,4,0.99,7808
SHP1294,U.S.,FastLogistics,Perishable,16-04-2025,26-04-2025,10,0.04,7333
SHP1295,Germany,OceanWave,Standard,10-09-2025,16-09-2025,8,0.94,6767
SHP1296,IN,OceanWave,Hazardous,26-10-2025,27-10-2025,99,,13552
SHP1297,DE,OceanWave,Hazardous,31-07-2025,08-08-2025,1,,10128
SHP1298,United States,AirFreight_Inc,Standard,28-05-2025,31-05-2025,7,0.93,10501
SHP1299,DE,OceanWave,Standard,02-05-2025,12-05-2025,4,0.01,12061
SHP1300,CN,GlobalShip,Standard,10-06-2025,08-06-2025,3,0.49,2444
SHP1301,Brazil,GlobalShip,Perishable,22-01-2025,28-01-2025,1,0.38,5865
SHP1302,Brazil,,Standard,04-08-2025,09-08-2025,6,0.8,14336
SHP1303,United States,,Hazardous,26-08-2025,05-09-2025,9,0.25,10727
SHP1304,IN,OceanWave,Fragile,17-02-2025,16-02-2025,4,0.72,3074
SHP1305,CN,,Fragile,06-07-2025,09-07-2025,2,0.16,9115
SHP1306,United States,OceanWave,Fragile,24-03-2025,31-03-2025,5,0.06,891
SHP1307,China,GlobalShip,Standard,17-07-2025,19-07-2025,4,0.95,12931
SHP1308,India,OceanWave,Fragile,03-07-2025,10-07-2025,10,0.51,4924
SHP1309,United States,AirFreight_Inc,Perishable,17-06-2025,15-06-2025,8,0.72,7439
SHP1310,Germany,OceanWave,Perishable,21-03-2025,29-03-2025,10,0.72,11586
SHP1311,Germany,FastLogistics,Fragile,25-09-2025,04-10-2025,5,0.45,8452
SHP1312,United States,GlobalShip,Hazardous,29-05-2025,28-05-2025,4,0.57,5581
SHP1313,United States,,Standard,02-10-2025,01-10-2025,2,0.99,9974
SHP1314,U.S.,,Perishable,25-06-2025,05-07-2025,2,0.01,6257
SHP1315,IN,FastLogistics,Fragile,28-02-2025,27-02-2025,8,0.8,5414
SHP1316,India,OceanWave,Fragile,08-04-2025,12-04-2025,1,0.79,6334
SHP1317,Germany,OceanWave,Fragile,13-07-2025,11-07-2025,4,0.15,5438
SHP1318,United States,,Standard,17-03-2025,26-03-2025,99,0.32,4307
SHP1319,China,OceanWave,Fragile,12-10-2025,20-10-2025,6,0.8,9229
SHP1320,China,FastLogistics,Hazardous,23-08-2025,22-08-2025,8,0.03,8195
SHP1321,DE,FastLogistics,Hazardous,15-01-2025,21-01-2025,1,0.99,9686
